source,target,case_sensitive
tabletop task,桌面任务,false
long-tail skill,长尾技能,false
skill diversity,技能多样性,false
object diversity,物体多样性,false
scene diversity,场景多样性,false
environment variability,环境可变性,false
task variability,任务可变性,false
environment generalization,环境泛化,false
domain generalization,域泛化,false
institution generalization,跨机构泛化,false
open-domain manipulation,开放域操作,false
non-prehensile manipulation,非抓取式操作,false
prehensile manipulation,抓取式操作,false
articulated object manipulation,关节物体操作,false
deformable manipulation,可变形物体操作,false
deformable object,可变形物体,false
rigid body,刚体,false
deformable body,可变形体,false
fluid manipulation,流体操作,false
liquid manipulation,液体操作,false
pick-and-place,拾取-放置,false
pick place,拾取-放置,false
pick-place,拾取-放置,false
pushing,推动,false
wiping,擦拭,false
assembling,装配,false
folding,折叠,false
shirt folding,衬衫折叠,false
drawer opening,打开抽屉,false
bin opening,打开垃圾桶,false
object rearrangement,物体重排,false
object navigation,物体导航,false
ObjectNav,ObjectNav,true
point-goal navigation,点目标导航,false
PointNav,PointNav,true
visual navigation,视觉导航,false
visual-language navigation,视觉-语言导航,false
VLN,VLN,true
embodied question answering,具身问答,false
EQA,EQA,true
room navigation,房间导航,false
mobile navigation,移动导航,false
interactive navigation,交互式导航,false
semantic navigation,语义导航,false
mapless navigation,无地图导航,false
frontier exploration,边界探索,false
exploration policy,探索策略,false
navigation policy,导航策略,false
robot planning,机器人规划,false
robot reasoning,机器人推理,false
spatial AI agent,空间 AI 智能体,false
spatial reasoning agent,空间推理智能体,false
LLM-based agent,基于 LLM 的智能体,false
LLM agent,LLM 智能体,false
VLM-driven robot,由 VLM 驱动的机器人,false
LLM-driven robot,由 LLM 驱动的机器人,false
foundation-model-based planning,基于基础模型的规划,false
foundation model-based robot planning,基于基础模型的机器人规划,false
Code as Policies,Code as Policies,true
CaP,CaP,true
SayCan,SayCan,true
PaLM-SayCan,PaLM-SayCan,true
VoxPoser,VoxPoser,true
Eureka,Eureka,true
DrEureka,DrEureka,true
Voyager,Voyager,true
Reflexion,Reflexion,true
ReAct,ReAct,true
Tree of Thoughts,思维树,true
ToT,ToT,true
Graph of Thoughts,思维图,true
GoT,GoT,true
self-reflection,自我反思,false
reflection,反思,false
reflective runtime,反思式运行时,false
self-healing agent,自修复智能体,false
execution provenance,执行溯源,false
evidence tracing,证据追踪,false
tool-use decision-maker,工具使用决策者,false
tool-augmented LLM,工具增强 LLM,false
tool-augmented agent,工具增强智能体,false
tool schema,工具模式,false
tool invocation,工具调用,false
tool-use trajectory,工具使用轨迹,false
agent execution,智能体执行,false
execution trace,执行轨迹,false
execution unit,执行单元,false
evidence unit,证据单元,false
typed provenance relation,类型化溯源关系,false
accountability,可问责性,false
attribution,归因,false
audit,审计,false
recovery,恢复,false
debugging,调试,false
planning loop,规划循环,false
reasoning loop,推理循环,false
agent loop,智能体循环,false
memory module,记忆模块,false
contextual memory,上下文记忆,false
long-term memory,长期记忆,false
short-term memory,短期记忆,false
sensory memory,感觉记忆,false
episodic memory,情景记忆,false
semantic memory,语义记忆,false
procedural memory,程序性记忆,false
working memory,工作记忆,false
agent memory,智能体记忆,false
graph-based memory,基于图的记忆,false
graph memory,图记忆,false
memory retrieval,记忆检索,false
memory update,记忆更新,false
self-evolving memory,自演化记忆,false
test-time learning,测试时学习,false
test-time adaptation,测试时适应,false
test-time evolution,测试时演化,false
context retention,上下文保持,false
context-resident compression,上下文内压缩,false
retrieval-augmented store,检索增强存储,false
reflective self-improvement,反思式自我改进,false
hierarchical virtual context,层级虚拟上下文,false
policy-learned memory management,策略学习式记忆管理,false
multi-session agentic test,多会话智能体测试,false
continuous task stream,连续任务流,false
sequential task stream,顺序任务流,false
prior experience,过往经验,false
past experience,过往经验,false
failed task,失败任务,false
self-reflection memory,自我反思记忆,false
reflection-augmented planning,反思增强规划,false
ReAP,ReAP,true
verbal reinforcement learning,语言强化学习,false
verbal self-reflection,语言自我反思,false
sparse reward signal,稀疏奖励信号,false
binary success status,二元成功状态,false
persistent memory,持久记忆,false
scalar reward,标量奖励,false
natural language action,自然语言动作,false
task completion plan,任务完成计划,false
proactive agent planning,主动式智能体规划,false
clarification need,澄清需求,false
ask-before-plan,先问后规划,false
single-agent system,单智能体系统,false
multi-agent system,多智能体系统,false
multi-agent collaboration,多智能体协作,false
multi-agent communication,多智能体通信,false
decentralized system,去中心化系统,false
local partial observation,局部部分观测,false
partial observation,部分观测,false
POMDP,POMDP,true
MDP,MDP,true
belief state,信念状态,false
belief update,信念更新,false
decision-making,决策,false
high-level decision-making,高层决策,false
low-level perception,低层感知,false
motor control,运动控制,false
cognitive task planning,认知任务规划,false
physical task planning,物理任务规划,false
semantic reasoning,语义推理,false
commonsense reasoning,常识推理,false
causal reasoning,因果推理,false
physical reasoning,物理推理,false
world state,世界状态,false
future world state,未来世界状态,false
external world,外部世界,false
physical world model,物理世界模型,false
mental world model,心理世界模型,false
social interaction,社会交互,false
human social interaction,人类社会交互,false
human preference,人类偏好,false
user preference,用户偏好,false
user profile,用户画像,false
agent-environment interaction,智能体-环境交互,false
human-robot interaction,人机交互,false
HRI,HRI,true
human-robot collaboration,人机协作,false
robot assistant,机器人助手,false
home assistant,家庭助手,false
open-ended instruction,开放式指令,false
open-ended embodied agent,开放式具身智能体,false
open-ended learning,开放式学习,false
lifelong learning,终身学习,false
continual learning,持续学习,false
catastrophic forgetting,灾难性遗忘,false
learning from interaction,从交互中学习,false
interactive learning,交互式学习,false
online adaptation,在线适应,false
adaptive policy,自适应策略,false
self-improvement,自我改进,false
self-correction,自我修正,false
self-repair,自我修复,false
robust generalization,鲁棒泛化,false
robust policy,鲁棒策略,false
failure recovery,失败恢复,false
replanning,重规划,false
plan repair,计划修复,false
task recovery,任务恢复,false
constraint violation,约束违反,false
valid state,有效状态,false
state drift,状态漂移,false
tool hallucination,工具幻觉,false
schema hallucination,模式幻觉,false
repeated failing call,重复失败调用,false
human babysitting,人工看护,false
minimal human oversight,最少人工监督,false
autonomous execution,自主执行,false
end-to-end task ownership,端到端任务负责,false
GUI agent,GUI 智能体,false
web navigation agent,网页导航智能体,false
desktop agent,桌面智能体,false
observation-centric interaction,以观测为中心的交互,false
long-chain execution,长链执行,false
historical trajectory,历史轨迹,false
trajectory history,轨迹历史,false
environment history,环境历史,false
multi-turn interactive task,多轮交互任务,false
single-turn reasoning task,单轮推理任务,false
agent benchmark,智能体基准,false
agent capability,智能体能力,false
agent evaluation,智能体评估,false
task automation,任务自动化,false
software agent,软件智能体,false
camera agent,相机智能体,false
edge deployment,边缘部署,false
edge inference,边缘推理,false
real-time inference,实时推理,false
real-time control,实时控制,false
inference speed,推理速度,false
action accuracy,动作准确率,false
control frequency,控制频率,false
control latency,控制延迟,false
throughput bottleneck,吞吐瓶颈,false
adaptive token caching,自适应 token 缓存,false
token caching,token 缓存,false
cache policy,缓存策略,false
efficient VLA,高效 VLA,false
affordable robotics,低成本机器人,false
low-cost robot,低成本机器人,false
low-cost whole-body teleoperation,低成本全身遥操作,false
data-efficient learning,数据高效学习,false
sample-efficient learning,样本高效学习,false
compute-efficient training,计算高效训练,false
parameter-efficient adaptation,参数高效适应,false
full fine-tuning,全量微调,false
partial fine-tuning,部分微调,false
adapter tuning,适配器调优,false
vision-language-action instruction tuning,视觉-语言-动作指令微调,false
VLA instruction tuning,VLA 指令微调,false
intermediate representation,中间表征,false
manipulation representation,操作表征,false
trajectory representation,轨迹表征,false
bounding box,边界框,false
trajectory prediction,轨迹预测,false
trajectory generation,轨迹生成,false
trajectory generator,轨迹生成器,false
zero-shot trajectory generator,零样本轨迹生成器,false
language model program,语言模型程序,false
policy code,策略代码,false
feedback loop,反馈回路,false
object detector,目标检测器,false
perception output,感知输出,false
API grounding,API 落地,false
control API,控制 API,false
robot API,机器人 API,false
primitive API,基元 API,false
program synthesis,程序合成,false
code generation,代码生成,false
reward design,奖励设计,false
reward shaping,奖励塑形,false
human-level reward design,人类水平奖励设计,false
LLM as optimizer,作为优化器的 LLM,false
language planning,语言规划,false
planning from demonstration,从示教中规划,false
high-level planning,高层规划,false
low-level planning,低层规划,false
MuJoCo,MuJoCo,true
Isaac Sim,Isaac Sim,true
Isaac Gym,Isaac Gym,true
Isaac Lab,Isaac Lab,true
PyBullet,PyBullet,true
Gazebo,Gazebo,true
CoppeliaSim,CoppeliaSim,true
MimicGen,MimicGen,true
robomimic,robomimic,true
Dex-Net,Dex-Net,true
Meta-World,Meta-World,true
ProcTHOR,ProcTHOR,true
MineDojo,MineDojo,true
MineRL,MineRL,true
Crafter,Crafter,true
MiniGrid,MiniGrid,true
Gymnasium,Gymnasium,true
OpenAI Gym,OpenAI Gym,true
DeepMind Control Suite,DeepMind Control Suite,true
DM Control,DM Control,true
D4RL,D4RL,true
MineCLIP,MineCLIP,true
Dreamer,Dreamer,true
DreamerV2,DreamerV2,true
DreamerV3,DreamerV3,true
PlaNet,PlaNet,true
TD-MPC,TD-MPC,true
TD-MPC2,TD-MPC2,true
IRIS,IRIS,true
GAIA-1,GAIA-1,true
Genie,Genie,true
Sora,Sora,true
V-JEPA,V-JEPA,true
VideoPoet,VideoPoet,true
UniSim,UniSim,true
